question,option_a,option_b,option_c,option_d,correct_answer,explanation
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,What is the purpose of a project charter?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,3,Which is a central objective of using a Kanban board?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,4,What does the term continuous delivery often refer to?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,5,The communications management plan is a document which includes descriptions of,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,6,_________ are usually not a manifestation of unique organizational cultures and styles.,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,7,Which of the following are generally regarded as elements of active listening?,5,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,8,"As the project manager, you decided to arrange a team meeting to identify and analyze lessons learned from quality control with stakeholders. What should you do with them?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,9,"Your Scrum Team is working with a Product Owner. During daily Scrum meetings, the person criticizes your team's perceived ""dysfunctionality"" and requires that one developer should be delegated to take the lead? What could be an appropriate response to that? (Choose 2)",5,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,10,How should change management be planned for?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,11,"According to Bruce Tuckman, what are the stages of team development?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,12,What is not a reason for companies to organize lessons learned?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,13,How does a project management team stay in touch with the work and the attitudes of project team members?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,14,Your project is running into a number of issues that could have been predicted using a formal risk management process with appropriate documentation Which document could have helped you and should have been developed along the risk management processes from identify risks through plan and implement risk responses to monitor risks?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,15,"A customer is requiring a minor scope change and expects you to do this without delays and additional costs. You believe that you have adequate authorization to make the decision by yourself, but you are not quite sure. What should be your next steps?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,16,A facilitator should…,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,17,"As the project manager in a software project which is currently initiated, you want to assess high- level risks. What should you do?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,18,"In most jurisdictions, a legally required order of formal statements establishing a contract is:",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,19,What should managers consider before conducting a performance evaluation interview with a project team member?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,20,"During team development, the handling of assumptions is causing problems. Some team members reject the notion that assumptions are an expression of uncertainty. Others recommended to make exploring assumptions an essential element of team building, following the Drexler/Sibbet Team Performance Model Which statement describes best the handling of assumptions in this model?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,21,A WBS dictionary is a document which…,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,22,You are in the process of contacting sellers to obtain bids and proposals. You found out that it might become a time-consuming procedure to ensure that the sellers get a clear and common understanding of the procurement process and of the needs of your project. Which technique may help you save time?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,23,"While you implement the plans of your project, you find that cultural differences and incompatibilities among your team members cause issues and resolving them leads to delays. As a project manager, when should you especially consider cultural differences? (Choose 2)",5,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,24,"At the beginning of project execution, you notice different opinions between team members relating to project work and deliverables and to the level of overall complexity. What should you do right now?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,25,"You have just taken over as manager of a project that will create many benefits for the performing organization, but you sense a high level of resistance in various stakeholders right from the start. What is the most appropriate action to resolve the problem?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,26,You are in the process of planning a project and found that stakeholders often have varying objectives and requirements. This makes it hard to come up with a plan with which all objectives will be met. What is probably most helpful to ensure common understanding?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,27,Projects frequently do not meet customer expectations for which of the following reasons?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,28,"You are the project manager for the development of a new type of power plant. Your project is making fast progress, and it is getting nearer to the day of product acceptance. Which technique will be most important for product acceptance?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,29,You have a discussion with management in organizations that the costs of quality are hard to assign and to balance against each What are the cost types in modern quality management?,4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,30,"During the execution of a project to build a complex defense system, your team has run into a deep crisis. The project's goal and objectives have been challenging right from the start, but now you have discovered that your team members have become increasingly unaware of them. Being busy solving detail problems, they often fail to understand the overall requirements. Then they develop solutions which resolve issues in their area of limited responsibility, while causing new problems at the interfaces with other system components. Meanwhile, the team members show signs of growing frustration, and time is running away. How can you help your team in this situation?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,31,"During execution in a project to build a major road bridge, your team found a major flaw in the technical drawings. On an ad-hoc base, they had to find and implement a workaround to avoid delays and mitigate technical problems. What should you do next?",4,1..n in source answer key; options stored as ordered positions
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,32,You recently took over the assignment for a project. The project charter has been developed. What is an appropriate next step for you?,4,1..n in source answer key; options stored as ordered positions
