Peso_inicial_kg,Raça,Sexo,Idade_inicial_meses,Dieta,Clima,Temperatura_media_C,Indice_pluviometrico_mm,Peso_final_kg,Momento_ideal_abate_dias,Ganho_peso_diario_kg,Idade_inicial_anos,Classificacao,RFID
256.2,Brahman,Macho,19,Alta energia,Sul,22.6,48.7,414.0,109,1.45,1.6,Novilha,3PI7BFRLDY1IU62
342.6,Hereford,Fêmea,21,Alta energia,Nordeste,27.1,279.0,610.0,105,2.55,1.8,Novilha,TVQSQP30RZP1YFS
309.8,Senepol,Fêmea,12,Média energia,Cerrado,21.4,261.6,586.6,110,2.52,1.0,Garrote,1UBLBWYWUIMREAK
289.8,Nelore,Macho,24,Média energia,Sul,29.4,215.2,559.7,134,2.01,2.0,Novilha,PMPKSN1OGD03679
223.4,Senepol,Fêmea,28,Alta energia,Sul,28.3,40.8,449.7,179,1.26,2.3,Vaca,AFFUFEDSULPWYFE
223.4,Nelore,Fêmea,14,Alta energia,Sul,26.1,235.0,408.3,176,1.05,1.2,Novilha,851MQVPFLNCUYP1
208.7,Angus,Macho,19,Alta energia,Nordeste,27.8,244.3,485.5,171,1.62,1.6,Novilha,Q5X6A9YHIG6BOMN
329.9,Nelore,Macho,25,Alta energia,Sul,33.4,232.7,589.0,151,1.72,2.1,Touro,UFQSO9QRX72E7JV
290.2,Brahman,Macho,14,Média energia,Sul,22.9,43.1,587.3,120,2.48,1.2,Novilha,6NZ1R8KABCUMKWQ
306.2,Hereford,Fêmea,27,Alta energia,Cerrado,20.3,196.7,479.6,131,1.32,2.2,Vaca,FRIJBEDQ9K6CBSL
203.1,Angus,Macho,24,Média energia,Cerrado,32.9,252.0,386.9,101,1.82,2.0,Novilha,T6OEC16ECXGYYA9
345.5,Nelore,Fêmea,28,Baixa energia,Sul,28.7,177.4,527.3,154,1.18,2.3,Vaca,AXZ2M3LT1YERGER
324.9,Senepol,Macho,24,Baixa energia,Sul,33.4,197.5,593.8,162,1.66,2.0,Novilha,SFHXYDNM6SYDLHG
231.9,Angus,Macho,17,Alta energia,Cerrado,29.0,142.9,409.9,92,1.93,1.4,Novilha,50NOKHWJNYR46ZB
227.3,Angus,Macho,28,Baixa energia,Nordeste,32.2,163.3,387.3,179,0.89,2.3,Touro,YWGO1R7JPF7BM2L
227.5,Nelore,Fêmea,25,Baixa energia,Nordeste,26.4,20.0,527.3,98,3.06,2.1,Vaca,YXDLIU3WQVHRJOZ
245.6,Angus,Fêmea,28,Baixa energia,Nordeste,31.2,195.3,399.3,140,1.1,2.3,Vaca,Y6VARRVM1K2RO8C
278.7,Senepol,Macho,19,Alta energia,Nordeste,33.7,33.6,554.0,105,2.62,1.6,Novilha,P1YKA0NIPFC4TS6
264.8,Angus,Macho,22,Alta energia,Nordeste,28.6,136.2,469.6,177,1.16,1.8,Novilha,29UI609PNVFOX4H
243.7,Senepol,Macho,12,Baixa energia,Nordeste,22.7,94.9,519.9,167,1.65,1.0,Garrote,N26O8DDWFI00J91
291.8,Nelore,Fêmea,18,Média energia,Nordeste,24.0,168.2,525.0,92,2.53,1.5,Novilha,DZV0NZJBXOX9VBZ
220.9,Hereford,Macho,28,Baixa energia,Nordeste,23.0,48.7,506.1,113,2.52,2.3,Touro,1ZSUMA1XFYGU5GJ
243.8,Angus,Fêmea,21,Alta energia,Cerrado,23.7,210.6,532.7,162,1.78,1.8,Novilha,BDUI3NMN9H4DF5P
255.0,Hereford,Macho,22,Alta energia,Nordeste,24.6,240.6,406.4,102,1.48,1.8,Novilha,2EHJBRN3D6UCH49
268.4,Senepol,Macho,20,Alta energia,Nordeste,28.3,57.4,429.7,91,1.77,1.7,Novilha,ZT1EM6UIT4J78WZ
317.8,Angus,Macho,20,Baixa energia,Nordeste,28.8,40.3,505.4,160,1.17,1.7,Novilha,YKZCVMI1X83B7GM
230.0,Brahman,Macho,16,Média energia,Sul,26.4,52.2,480.4,110,2.28,1.3,Novilha,RANODM6CSBZPI1I
277.1,Hereford,Macho,28,Alta energia,Cerrado,29.2,264.4,560.3,108,2.62,2.3,Touro,8SUSK7BL05L8V5N
288.9,Angus,Macho,20,Alta energia,Cerrado,21.2,163.2,507.9,178,1.23,1.7,Novilha,KAKXYDN6S5ZIX15
207.0,Hereford,Fêmea,28,Baixa energia,Cerrado,21.3,145.5,448.0,136,1.77,2.3,Vaca,95OED2I6NX7DKCC
291.1,Angus,Macho,18,Média energia,Nordeste,22.6,40.9,469.4,111,1.61,1.5,Novilha,A13ISYIH95PW6W3
225.6,Nelore,Fêmea,20,Baixa energia,Nordeste,27.8,198.4,496.3,164,1.65,1.7,Novilha,M8AKSH90ID58RKK
209.8,Hereford,Macho,18,Alta energia,Sul,23.2,261.7,504.9,122,2.42,1.5,Novilha,A6016HOXVOWJYXK
342.3,Brahman,Macho,24,Média energia,Cerrado,24.2,250.2,532.6,121,1.57,2.0,Novilha,IBG7W682LOARAV3
344.8,Brahman,Fêmea,22,Média energia,Nordeste,26.0,191.6,569.0,153,1.47,1.8,Novilha,K8IIWU3ARDDQXIV
321.3,Senepol,Macho,25,Alta energia,Cerrado,32.2,31.8,484.2,174,0.94,2.1,Touro,35TZEOXULKGGOA0
245.7,Angus,Fêmea,22,Média energia,Sul,20.2,42.6,479.6,128,1.83,1.8,Novilha,QBACKN6SI9WLE88
214.7,Hereford,Fêmea,24,Média energia,Sul,29.7,24.3,440.1,173,1.3,2.0,Novilha,EP8ATSMI7SZ9NXI
302.6,Senepol,Macho,25,Baixa energia,Sul,30.0,84.7,474.3,161,1.07,2.1,Touro,HZNFF5IB1H7K3B1
266.0,Hereford,Fêmea,24,Alta energia,Cerrado,32.0,49.3,482.3,131,1.65,2.0,Novilha,RWQ4XFU324V5QUL
218.3,Angus,Fêmea,12,Alta energia,Nordeste,34.0,85.4,418.4,98,2.04,1.0,Garrote,E6V44OZGRV91G81
274.3,Brahman,Macho,19,Alta energia,Nordeste,20.3,121.7,502.6,114,2.0,1.6,Novilha,XI4UF212XJGKDGY
205.2,Nelore,Fêmea,23,Alta energia,Sul,22.3,283.5,443.0,178,1.34,1.9,Novilha,E81LUP55N8A1N53
336.4,Brahman,Macho,23,Alta energia,Nordeste,33.3,187.0,487.7,91,1.66,1.9,Novilha,3KJMFW304M8EX9J
238.8,Senepol,Macho,19,Média energia,Sul,26.9,252.1,503.0,108,2.45,1.6,Novilha,INNSF417P3RNDF0
299.4,Nelore,Macho,19,Baixa energia,Cerrado,28.5,216.0,556.4,109,2.36,1.6,Novilha,OC0U9GXDJ3BRG0G
246.8,Senepol,Macho,24,Alta energia,Sul,29.9,42.6,451.7,159,1.29,2.0,Novilha,0PQD9B5RUYUQ2OB
278.0,Angus,Fêmea,23,Baixa energia,Cerrado,30.2,223.4,435.9,106,1.49,1.9,Novilha,EF15705R8CPX0MD
282.0,Nelore,Macho,27,Baixa energia,Sul,34.0,89.8,545.2,178,1.48,2.2,Touro,OYB4TNL9ANYSQI2
