id,record_origin,source_kind,generation_method,split,source_family,source_url,seed_question_number,question_text,question_type,option_a,option_b,option_c,option_d,option_e,correct_answer_letters,correct_answer_positions,multiple_correct,option_count,domain,approach,difficulty,keywords,answer_rationale,reference
PMP-0001-00,seed,public_seed_pdf,seed_original,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",multiple_choice,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,,C,3,no,4,People,Predictive,medium,team,Correct answer key carried from the original seed dataset; see reference/source URL.,"PMBOK® Guide 6th Edition, page 348."
PMP-0001-01,synthetic,synthetic_augmented,paraphrase_stem,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"From a PMI perspective, which option best answers the following? Being assigned as a PM, you noticed during project execution that conflicts arise in the delivery team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",multiple_choice,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,,C,3,no,4,People,Predictive,medium,team,Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 348."
PMP-0001-02,synthetic,synthetic_augmented,option_shuffle,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"A project manager faces this situation: Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts? Select the best response.",multiple_choice,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",,D,4,no,4,People,Predictive,medium,team,Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 348."
PMP-0001-03,synthetic,synthetic_augmented,contextualized_shuffle,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"This appears in a scenario-based practice exam. Choose the most appropriate answer for this PMP-style scenario: Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",multiple_choice,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",,D,4,no,4,People,Predictive,medium,team,Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 348."
PMP-0001-04,synthetic,synthetic_augmented,exam_prompt_shuffle,validation,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"Exam-style prompt: Considering current PMP exam logic, what is the best answer? Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",multiple_choice,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",,D,4,no,4,People,Predictive,medium,team,Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 348."
PMP-0001-05,synthetic,synthetic_augmented,scenario_prompt_shuffle,validation,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"Scenario-based practice item. Which response is MOST appropriate here? Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",multiple_choice,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,,A,1,no,4,People,Predictive,medium,team,Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 348."
PMP-0002-00,seed,public_seed_pdf,seed_original,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,What is the purpose of a project charter?,multiple_choice,To formally authorize a project or a phase and document initial requirements which satisfy the stakeholder's needs and expectations.,"To document how the project will be planned, executed, monitored/controlled, and closed.","To link the project, which is going to be planned, executed, and monitored/controlled to the ongoing work of the organization.",To describe the process of performing the work defined in the project management plan in order to achieve the project's objectives.,,A,1,no,4,Process,Predictive,easy,"stakeholder, scope, charter",Correct answer key carried from the original seed dataset; see reference/source URL.,"PMBOK® Guide 6th Edition, page 75."
PMP-0002-01,synthetic,synthetic_augmented,paraphrase_stem,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,"From a PMI perspective, which option best answers the following? What is the purpose of a project charter?",multiple_choice,To formally authorize a project or a phase and document initial requirements which satisfy the stakeholder's needs and expectations.,"To document how the project will be planned, executed, monitored/controlled, and closed.","To link the project, which is going to be planned, executed, and monitored/controlled to the ongoing work of the organization.",To describe the process of performing the work defined in the project management plan in order to achieve the project's objectives.,,A,1,no,4,Process,Predictive,easy,"stakeholder, scope, charter",Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 75."
PMP-0002-02,synthetic,synthetic_augmented,option_shuffle,test,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,A project manager faces this situation: What is the purpose of a project charter? Select the best response.,multiple_choice,To describe the process of performing the work defined in the project management plan in order to achieve the project's objectives.,"To document how the project will be planned, executed, monitored/controlled, and closed.",To formally authorize a project or a phase and document initial requirements which satisfy the stakeholder's needs and expectations.,"To link the project, which is going to be planned, executed, and monitored/controlled to the ongoing work of the organization.",,C,3,no,4,Process,Predictive,easy,"stakeholder, scope, charter",Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 75."
PMP-0002-03,synthetic,synthetic_augmented,contextualized_shuffle,train,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,You are reviewing the situation during delivery. Choose the most appropriate answer for this PMP-style scenario: What is the purpose of a project charter?,multiple_choice,"To document how the project will be planned, executed, monitored/controlled, and closed.",To formally authorize a project or a phase and document initial requirements which satisfy the stakeholder's needs and expectations.,To describe the process of performing the work defined in the project management plan in order to achieve the project's objectives.,"To link the project, which is going to be planned, executed, and monitored/controlled to the ongoing work of the organization.",,B,2,no,4,Process,Predictive,easy,"stakeholder, scope, charter",Synthetic variant of a seed item; correct answer remapped from the seed answer key after any option shuffle.,"PMBOK® Guide 6th Edition, page 75."
