id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,eco_task,approach,difficulty,keywords,split,source,template_family
PMP-PRO-00001,"On a public sector modernization project, a project manager is responsible for delivery under a Agile lifecycle. The steering committee questions whether the project still supports strategy. The situation affects both delivery predictability and stakeholder confidence. Which action should the project manager take next?",Delay all project work until every stakeholder reaches full agreement,Tell the customer the change cannot be considered at this point,Review the benefits realization plan and adjust the approach with stakeholder agreement,Replace the team member most closely associated with the issue,C,Projects should remain aligned to business outcomes throughout delivery.,Business,Support organizational change,Agile,medium,"compliance, value, benefits",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00002,A project manager is leading a new service launch using a Hybrid approach. A team member is consistently late with assigned work. What is the most appropriate response?,Ignore the concern until it appears in the next status report,Update the schedule without consulting the affected stakeholders,"Review expectations with the stakeholder and team, then update the engagement approach if needed",Direct the team to work overtime until the issue is resolved,C,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Manage stakeholder expectations,Hybrid,easy,"leadership, conflict, stakeholders",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00003,A Agile project is underway for a supply chain improvement project. A functional manager pulls a critical resource from the project. The situation affects both delivery predictability and stakeholder confidence. Which action should the project manager take next?,Cancel the current iteration and restart the planning process,Continue with the original plan because it was formally approved,Assess compliance and business implications before proceeding,Delay all project work until every stakeholder reaches full agreement,C,"Business environment issues require evaluation of compliance, governance, and organizational impact.",Business,Manage business impact,Agile,medium,"value, strategy, governance",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00004,"On a mobile application delivery project, a project manager is responsible for delivery under a Agile lifecycle. A business unit refuses to participate in validation activities. The team has limited time to respond before the next status review. Which action best aligns with PMI's project management principles?",Direct the team to work overtime until the issue is resolved,Meet with the affected people to identify the root cause and agree on a constructive path forward,Close the risk because it has not yet occurred,Cancel the current iteration and restart the planning process,B,The best first step is to understand the root cause and involve the people closest to the issue.,People,Empower team members,Agile,medium,"stakeholders, team, collaboration",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00005,"A project manager is leading a public sector modernization project using a Predictive approach. The budget forecast shows a possible overrun next quarter. The issue has moderate impact, but several stakeholders have different expectations. How should the project manager proceed?",Tell the customer the change cannot be considered at this point,"Assess the impact on scope, schedule, cost, quality, and risk before deciding",Replace the team member most closely associated with the issue,Direct the team to work overtime until the issue is resolved,B,Integrated impact analysis is required before corrective action.,Process,Ensure quality,Predictive,medium,"quality, change control, schedule",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00006,"In a supply chain improvement project, the project team is operating with a Hybrid delivery model. A previously supportive stakeholder becomes resistant to the project. How can the project manager best support project success?",Delay all project work until every stakeholder reaches full agreement,Work with the team to identify root cause and implement a preventive or corrective action,Make the decision alone to avoid slowing the project team,Tell the customer the change cannot be considered at this point,B,"The project manager should address root cause, not only symptoms.",Process,Plan project work,Hybrid,easy,"risk, change control, quality",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00007,A Predictive project is underway for a digital transformation program. The customer reports that the delivered increment does not solve the expected problem. The team has limited time to respond before the next status review. How can the project manager best support project success?,Use servant leadership to support the team in resolving the issue,Ask the sponsor to decide the technical solution,Escalate the issue immediately to the sponsor without further analysis,Direct the team to work overtime until the issue is resolved,A,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Support team performance,Predictive,medium,"conflict, leadership, stakeholders",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00008,"On a healthcare process improvement initiative, a project manager is responsible for delivery under a Hybrid lifecycle. A critical defect appears shortly before a planned release. Which step should be taken to resolve the issue effectively?",Direct the team to work overtime until the issue is resolved,"Analyze the impact, document the issue, and follow the appropriate change control process",Continue with the original plan because it was formally approved,Cancel the current iteration and restart the planning process,B,Changes should be evaluated for impact before approval or implementation.,Process,Plan project work,Hybrid,easy,"change control, risk, schedule",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00009,"A project manager has recently joined an enterprise resource planning deployment, which follows a Agile approach. A technical decision could reduce long-term maintainability. What should the project manager do first?","Review the relevant plan or register, update it, and define an appropriate response",Delay all project work until every stakeholder reaches full agreement,Replace the team member most closely associated with the issue,Make the decision alone to avoid slowing the project team,A,"PMI expects proactive planning, documentation, and response definition.",Process,Track project performance,Agile,easy,"change control, scope, risk",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00010,A Predictive project is underway for a business intelligence implementation. An agile team asks the project manager to decide how they should complete the work. How should the project manager proceed?,Assign blame to the responsible party and document the performance issue,Review the benefits realization plan and adjust the approach with stakeholder agreement,Continue with the original plan because it was formally approved,Close the risk because it has not yet occurred,B,Projects should remain aligned to business outcomes throughout delivery.,Business,Respond to market change,Predictive,easy,"benefits, governance, compliance",train,synthetic_eco_aligned_pro,scenario
