id,statement,option1,option2,option3,option4,correct_answer,explanation,source
1,"You have joined a new project team and are moving to an Agile way of
work. Part of this is co-locating the team to gain the benefit of
osmotic communication. Your project sponsor asks what this means. What
do you tell them?",The team is able to meet more frequently when co-located.,It is easier to hand off work to someone if it meets their strengths.,"It is a written process made available to everyone in the team for
transparency.","The team will overhear conversations and information in the common area
that will help them solve future problems.",4,"Osmotic communication is the accidental overhearing of background
information that may later end up being important -- part of the benefit
to co-locating a team in Agile.",500_questions.txt
2,"You are working with an Agile team who are not co-located. They are in
various locations around the country. As the Agile lead, how will you
get the benefit of Agile without a co-located team?","Utilise group messaging software, daily teleconference stand-ups, an
electronic Kanban and backlog.","Ask the organisation to re-locate the team to ensure everyone is in the
same place.","Hire or find new team members from within the organisation who are in
the same place so you can co-locate.","Remove all meetings so people can focus on their work without
distraction.",1,"It may not be feasible to move entire teams, or hire new ones. Utilising
the many electronic options so your team can still get the benefit of
frequent contact and communication is the most cost-effective approach.",500_questions.txt
3,"You are leading an Agile team that has members in various locations
around the country. You have arranged daily stand-ups via phone, with
electronic Kanban and backlogs, but the team is not able to meet face to
face. What else will you do to increase the team working together and
getting to know each other?",Have a team board with their backgrounds and pictures.,"Swap roles throughout the team so each member gets a feel for what
others do.","Pair up team members to work on tasks, and rotate the pairs for each
feature.","Have a virtual lunch and learn where team members share something about
themselves.",3,"Pair programming is a common technique in Agile and can be used for most
tasks. Pairing up team members on a task or iteration gives them the
opportunity to talk and work with each other one-on-one",500_questions.txt
4,"You are showing the project sponsor around the team area for your Agile
project and see the burndown chart next to the team Kanban board. The
project sponsor asks what the chart tells you. What will you say?",It shows how many team members are moving on and off the project.,"It shows the remaining tasks versus what was planned for a given
iteration.",It shows the automated tests run as part of continuous integration.,It shows the return on investment for the delivered features.,2,"A burndown chart is a line chart showing the iteration tasks completed
versus what was planned over the iteration. The same idea can be used
for features over the life of a project, or even risks with the project
itself, and can be measured in any way you choose -- by hours, tasks,
cards or stories completed and more.",500_questions.txt
5,"You are working through the feature backlog with the functional manager
of the organisation, who is the product owner for your Agile team. They
ask about the velocity chart that is hanging in the team area. What do
you tell them it is?","The number of points, tasks or features completed by the team in each
given iteration.","The number of team members working on the Agile project over the life of
the project.",How fast each team member completes their work each day.,The speed with which the project budget is being used up.,1,"Team velocity is the amount of work a team can complete in a given
iteration, whether it's measured by points, hours, story cards, tasks,
or features themselves. A velocity chart therefore shows the number of
whatever unit of measure you choose per iteration.",500_questions.txt
6,"In 2001, a group of individuals, representing the most widely used
lightweight software development methodologies, agreed on a common set
of values and principles which became known as the Agile Manifesto.
Which of the following is one of the Agile Manifesto\'s core values?",Developer negotiation over feature collaboration.,Product owner interaction over Scrum Master delegation.,Customer collaboration over contract negotiation.,Getting things right over getting the right things.,3,"The Agile manifesto is made up of four core values, one of which values
Customer collaboration over contract negotiation.",500_questions.txt
7,"You are working with your project team in a way that ensures you Analyse
the requirements, then Design, Build and Test for those requirements,
repeating them until the product is correct, and adjusting your product
or approach as necessary before releasing in one large feature. Which
project lifecycle are you using?",A Predictive project lifecycle approach.,An Agile project lifecycle approach,An Incremental project lifecycle approach,An Iterative project lifecycle approach,4,"The iterative project lifecycle Analyses, Designs, Builds, Tests, and
repeats these activities until it is correct, then delivers in one
release. Incremental delivers small increments of value (i.e. features),
Agile is a combination of Iterative and Incremental, and Predictive does
one release only with little or no iterative feedback.",500_questions.txt
8,"You are working on a project with clear procedures based on past
projects. The product is clear and the risks are fairly well known as
the organisation has done this before. Which is true from the below?","It is definable work, you can choose a predictive project lifecycle.","It is definable work, you can choose an Agile project lifecycle.","It is high-uncertainty work, you can choose an incremental project
lifecycle.","It is high-uncertainty work, you can choose an iterative project
lifecycle.",1,"When the situation is fairly definable and well known, and the risks are
also fairly well known, you can choose a predictive project lifecycle
that plans most of the project up-front and delivers in one release.
Agile, Incremental and Iterative lifecycles are used for high
uncertainty work.",500_questions.txt
9,"You are an Agile project manager leading a project team who is used to a
Waterfall way of work. The project sponsor wants to plan the entire
project up front so they can see when the project will be delivered. You
tell them that Agile uses adaptive planning. Why might this be a better
alternative?","Adaptive planning allows the project sponsor to adapt to the project
plan over time.","Adaptive planning allows the team to deliver usable features while
continually reprioritising next pieces based on business value.","Adaptive planning ensures that the users can adapt to the product
delivered by the project team.",Adaptive planning is stable after the prototype is complete.,2,"Adaptive planning allows the project sponsor to receive incremental
value delivered as features, and for those features to be re-prioritised
by the product owner throughout the life of the project. As the saying
goes, many waterfall projects start out as predictive planned, and end
up as adaptive planned (when schedule and cost projections are not met
and they need to adjust).",500_questions.txt
10,"You are the Scrum Master and about to begin a new iteration in your
Agile project. New features have been added to the backlog, and the team
are unsure of which of those features to work on next. How will you
guide the product owner and the team when analysing next priority?","Analyse the value of each feature with the product owner, versus the
effort and risk of each item with the Agile team.",Focus on the shortest tasks first so you can deliver value quickly.,"Choose to deliver the entire project at the end so the project sponsor
can see it all together.",By asking the customers what they want delivered first.,1,"While value is typically determined by features that customers want, the
priority is ultimately decided by the product owner, who represents the
customer or the business and constantly refines and prioritises the
backlog of features. Just as important is developing high risk items,
and considering the development effort versus the benefit.",500_questions.txt
