id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,approach,difficulty,split,source
1,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
2,A project manager is managing a Predictive project. A risk identification arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,validation,synthetic_eco_v2
3,A project manager is managing a Predictive project. A quality issue arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
4,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
5,A project manager is managing a Agile project. A risk identification arises related to process. What should the project manager do first?,Update the project plan accordingly,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,train,synthetic_eco_v2
6,A project manager is managing a Predictive project. A quality issue arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
7,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Ignore the issue temporarily,Update the project plan accordingly,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,validation,synthetic_eco_v2
8,A project manager is managing a Agile project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,Ignore the issue temporarily,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,train,synthetic_eco_v2
9,A project manager is managing a Predictive project. A schedule delay arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
10,A project manager is managing a Predictive project. A scope change request arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,test,synthetic_eco_v2
