dataset_id,source_name,source_url,question_number,question_text,option_count,choice_label_scheme,option_1,option_2,option_3,option_4,option_5,correct_answer_positions,correct_answer_letters,multiple_correct,reference
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,1,"Being assigned as a project manager, you noticed during project execution that conflicts arise in the team on both technical and interpersonal levels. What is an appropriate way of handling conflicts?",4,1..n in source answer key; options stored as ordered positions,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,A conflict should be handled in a meeting so that the entire team can participate in finding a solution.,"Conflicts should be addressed early and usually in private, using a direct, collaborative approach.",You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,,3,C,no,"PMBOK® Guide 6th Edition, page 348."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,2,What is the purpose of a project charter?,4,1..n in source answer key; options stored as ordered positions,To formally authorize a project or a phase and document initial requirements which satisfy the stakeholder's needs and expectations.,"To document how the project will be planned, executed, monitored/controlled, and closed.","To link the project, which is going to be planned, executed, and monitored/controlled to the ongoing work of the organization.",To describe the process of performing the work defined in the project management plan in order to achieve the project's objectives.,,1,A,no,"PMBOK® Guide 6th Edition, page 75."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,3,Which is a central objective of using a Kanban board?,4,1..n in source answer key; options stored as ordered positions,Allowing for three-point estimation of work items,Limiting the number of items in the Work in Progress column,Allowing for Fibonacci numbers in estimation of epics,Giving the Scrum Master a tool to add stories to the backlog,,2,B,no,"Agile Practice Guide, pages 65-66, 105."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,4,What does the term continuous delivery often refer to?,4,1..n in source answer key; options stored as ordered positions,"A standardized set of deliverables, like plans, reports, and checklists.",A set of tools and techniques that a project manager should master.,Increasing customer satisfaction by delivering valuable products and increments early.,"A specific sequence of work, described in terms of soft logic.",,4,D,no,"Agile Practice Guide, pages 25."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,5,The communications management plan is a document which includes descriptions of,4,1..n in source answer key; options stored as ordered positions,Project level performance reports,Activity level status reports,Stakeholder communication requirements,Project benefit analysis results,,3,C,no,"PMBOK® Guide 6th Edition, page 377."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,6,_________ are usually not a manifestation of unique organizational cultures and styles.,4,1..n in source answer key; options stored as ordered positions,"Shared visions, values, norms, beliefs, and expectations",Individual traits and attitudes of co-workers,Views of authority relationships,"Policies, methods, and procedures",,2,B,no,"PMBOK® Guide 6th Edition, page 38."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,7,Which of the following are generally regarded as elements of active listening?,5,1..n in source answer key; options stored as ordered positions,Making eye contact,Pressurizing the speaker,Paraphrasing,Interpreting the information,Interrupting when appropriate,"1,3,4","A,C,D",yes,"Project Management JumpStart by Kim Heldman, page 47."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,8,"As the project manager, you decided to arrange a team meeting to identify and analyze lessons learned from quality control with stakeholders. What should you do with them?",4,1..n in source answer key; options stored as ordered positions,Document them and make them part of the historical database for the project and the performing organization.,Discuss them with management and make sure that they remain otherwise confidential,Publish them in the corporate newsletter.,"Follow your strategic decisions, independent from lessons learned. These decisions have been made and should be implemented whatever the outcomes are.",,1,A,no,"PMBOK® Guide 6th Edition, page 104."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,9,"Your Scrum Team is working with a Product Owner. During daily Scrum meetings, the person criticizes your team's perceived ""dysfunctionality"" and requires that one developer should be delegated to take the lead? What could be an appropriate response to that? (Choose 2)",5,1..n in source answer key; options stored as ordered positions,The Product Owner's job is to guide the direction of the product.,The Product Owner's job is to validate the final deliverables of the project.,The Product Owner's job is to verify that the rules of Scrum are adhered to.,The Product Owner should not join the Daily Scrums as he/she is not a member of the Scrum Team.,The Product owner manages the product backlog for the Developer Team.,"1,5","A,E",yes,"Agile Practice Guide, pages 41, Scrumguide."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,10,How should change management be planned for?,4,1..n in source answer key; options stored as ordered positions,"Changes are generally not predictable, therefore planning for change management cannot be reasonable.",Planning for change management should be done while the various change control processes are being applied.,Change management can be planned in a set of management plans or a specific change management plan.,"Changes are a sign of bad planning. One should avoid changes during a project, thus eliminating the need to manage them.",,3,C,no,"PMBOK® Guide 6th Edition, page 113."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,11,"According to Bruce Tuckman, what are the stages of team development?",4,1..n in source answer key; options stored as ordered positions,"Honeymoon, rejection, regression, acceptance, re-entry","Forming, storming, norming, performing (adjourning)","Tell, sell, consult, join","Direct, support, coach, delegate",,2,B,no,"Project Management JumpStart by Kim Heldman, page 214."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,12,What is not a reason for companies to organize lessons learned?,4,1..n in source answer key; options stored as ordered positions,Lessons learned databases are an essential element of the organizational process assets.,Lessons learned should focus on identifying those accountable for errors and failures.,Lessons learned sessions should bring about recommendations to improve future performance on projects.,Phase-end lessons learned sessions provide a good team building exercise for project staff members.,,2,B,no,"PMBOK® Guide 6th Edition, page 104."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,13,How does a project management team stay in touch with the work and the attitudes of project team members?,4,1..n in source answer key; options stored as ordered positions,By observation and communication,Using closed questions during team meetings,Through third-party assessments,Through the team members' functional managers,,1,A,no,"PMBOK® Guide 6th Edition, page 349."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,14,Your project is running into a number of issues that could have been predicted using a formal risk management process with appropriate documentation Which document could have helped you and should have been developed along the risk management processes from identify risks through plan and implement risk responses to monitor risks?,4,1..n in source answer key; options stored as ordered positions,List of risk triggers,Risk register,Risk mitigation,Decision tree,,2,B,no,"PMBOK® Guide 7th Edition, page 185."
