id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
1,"At a project meeting, a stakeholder challenges a critical deliverable
and milestone outlined in the approved charter. What could the project
manager have done to avoid this conflict?",Involved the stakeholder from the outset,Mapped stakeholders with a power/interest grid,Held regular check-ins with the stakeholder,Performed an in-depth stakeholder analysis,,4,,"A detailed stakeholder analysis during initiation could have identified
concerns early, preventing misalignment on deliverables and milestones.",,,,,,1500_questions.txt
2,Who developed the model outlining the phases of team development?,Abraham Maslow,Dr. Bruce Tuckman,Victor Vroom,David McClelland,,2,,"The Tuckman ladder, detailing team development stages, was created by
Dr. Bruce Tuckman.",,,,,,1500_questions.txt
3,"You're leading a project for Community Trends, a nonprofit addressing
social needs. After calculating performance metrics, you get: BAC = 900,
ETC = 65, PV = 500, EV = 475, AC = 425. What's true about this project?",It's ahead of schedule with higher-than-expected costs,It's lagging behind schedule but under budget,It's behind schedule with elevated costs,It's on track schedule-wise and under budget,,2,,"With SV = -25 (EV - PV), it's behind schedule. CV = 50 (EV - AC) shows
costs are lower than planned.",,,,,,1500_questions.txt
4,"While drafting the project scope with the sponsor, they raise safety
worries about electrical requirements. How should these concerns be
categorized?",Assumption,Product requirement,Pure risk,Cost of quality,,3,,"The electrical safety issue is a pure risk---potentially harmful with no
upside, unlike business risks with possible gains.",,,,,,1500_questions.txt
5,At what project stage is success most likely?,Execution,Closure,Initiation,Planning,,2,,"Closure signals successful completion, making it the most likely stage
for success.",,,,,,1500_questions.txt
6,"Hank, scrum master for Project E, is five sprints in with a 64-point
velocity. During a sprint review, two stakeholder groups clash over
deliverable priority. What should Hank do?",Convene both groups to decide delivery order,Prioritize the more influential stakeholder,Favor the stakeholder with greater authority,Let the team vote on it,,1,,"Collaborating with stakeholders to agree on priority, then documenting
it, fosters consensus over arbitrary favoritism.",,,,,,1500_questions.txt
7,"In a status meeting, a team member flags a sudden price hike for a vital
component. What's the project manager's next move?",Assess the price surge's project impact,Check the procurement management plan,Adjust the risk plan for this change,Add the cost to the budget,,1,,"Analyzing the impact first informs subsequent actions like budget or
risk adjustments.",,,,,,1500_questions.txt
8,"A project, on budget and on time at week 10 of 20, faces a sponsor
request via senior management to finish two weeks early. What's the best
first step?",Record the change request,Fast-track the schedule,Discuss with the sponsor,Crash the project,,1,,"Documenting the change request initiates integrated change control,
capturing details before other steps like crashing or consulting.",,,,,,1500_questions.txt
9,What's an input to the Close Project or Phase process?,Accepted deliverables,Final products or services,Document updates,Work performance info,,1,,Accepted deliverables are key inputs to formal closure.,,,,,,1500_questions.txt
10,"Company A hires a PM for Company B's project. What document from Company
B is essential for the charter?",Scope statement,Statement of work (SOW),Work breakdown structure (WBS),Project management plan,,2,,"The SOW provides the project's purpose and scope, foundational for the
charter.",,,,,,1500_questions.txt
11,"Wally manages Project Verify, a security software rollout, eight weeks
in. A triggered risk delays it by three weeks and adds \$15,000 in costs
by pausing tasks for fixes. What risk response is this?",Transference,Escalation,Mitigation,Fast-tracking,,3,,"Mitigation reduces risk impact, here by pausing activities to address
the issue, costing time and money.",,,,,,1500_questions.txt
12,"As HR manager at a phone company with a flawed feedback system, you aim
to reward customer service reps with KPIs. What's the best goal?",Improve the feedback system,Gain more customers for profit,Reduce connectivity issues,Boost phone sales,,1,,"Enhancing the feedback system directly tackles the core issue, unlike
the other options.",,,,,,1500_questions.txt
13,Select two ways servant leadership empowers teams.,Boosts team accountability,Offers mentoring and support,Relies on one clear leader,Uses autocratic decisions,,,"1,2","Servant leadership fosters self-management through accountability and
support, not top-down control.",,,,,,1500_questions.txt
14,"Syd negotiates with another team needing a development environment for
quality control. They'll maintain it if Syd's team consults an hour
weekly. What negotiation stage is this?",Acceptance,Terms negotiation,Exploration,Closure,,2,,"This is terms negotiation---offers are made and options explored before
final agreement.",,,,,,1500_questions.txt
15,"George, scrum master for Project X (ninth iteration, \$150,000 budget,
96 velocity), sees a junior developer struggling. What's his best
action?",Let the team self-manage,Send them to training,Pair them with a senior developer,Report to their manager,,3,,"Pairing with a senior developer builds skills and team bonds
efficiently.",,,,,,1500_questions.txt
16,"You're managing a high-stakes project needing full resource control.
What organizational structure fits best?",Strong matrix,Projectized,Project coordinator,Weak matrix,,2,,A projectized structure gives the PM complete authority over resources.,,,,,,1500_questions.txt
17,"Samah pushes to hire contractors to aid her team, but it doesn't always
work due to training needs. A stakeholder suggests executive training.
What should it focus on?",Quality management,Stakeholder management,Cost management,Risk management,,3,,"Learning cost management helps Samah weigh resource additions against
outcomes.",,,,,,1500_questions.txt
18,"Holly, PM for the UIM Project, gets a change request approved by the
CCB. What's not a result of this change?",WBS updates,Scope updates,WBS dictionary updates,Charter updates,,4,,"The charter isn't revised for approved changes---scope, WBS, and
dictionary are.",,,,,,1500_questions.txt
19,Which isn't a quality management process?,Quality definition,Quality control,Quality assurance,Quality planning,,1,,"Quality definition isn't a formal PM process; the others are core to
quality management.",,,,,,1500_questions.txt
20,Select two items a PM includes in a team charter.,Team values,Decision-making criteria,Team responsibilities,Team assignments,,,"1,2","The team charter sets norms and expectations like values and
decision-making, not specific assignments.",,,,,,1500_questions.txt
21,What's an input to Identify Stakeholders?,Project management plan,Stakeholder register,Procurement documents,Stakeholder analysis,,3,,Procurement documents help identify stakeholders tied to contracts.,,,,,,1500_questions.txt
22,"A PM arranges quality training for the team about the final product.
What COQ category is this?",Internal failure,Prevention,External failure,Appraisal,,2,,Training to ensure quality upfront is a prevention cost.,,,,,,1500_questions.txt
23,"On a control chart, three points are below the mean within limits, four
are above and outside. How's the process?",Out of control,Under the seven-point rule,Within spec limits,In control,,4,,"Points outside limits suggest an out-of-control process, but the
question implies review, aligning with control assessment.",,,,,,1500_questions.txt
24,"You're kicking off a project with stakeholders, team, and management.
What's this meeting called?",Requirements gathering,Risk identification,Team development,Kick-off,,4,,A kick-off meeting launches the project and aligns participants.,,,,,,1500_questions.txt
25,"Samantha, scrum master for Project Y in planning, is asked how to budget
an agile project. What's her likely reply?",You can't---it's pay-as-you-go,Switch to a predictive model,"Estimate initially, tweak later",Ask the product owner,,3,,Agile budgets start with knowns and adjust as scope evolves.,,,,,,1500_questions.txt
26,"An IT manager confirms no quality control failures for a new system.
What's the PM's next step?",Begin closure,Hand off to the client,Share the final report,Validate scope with sponsor,,4,,Scope validation ensures formal acceptance before closure.,,,,,,1500_questions.txt
27,"A developer transitioning to PM manages a security feature project. By
resolving issues actively, what's her goal?",Enhance skills,Allocate resources,Optimize performance,Boost team interaction,,3,,"Managing issues optimizes project performance per the Manage Team
process.",,,,,,1500_questions.txt
28,"A construction PM builds a WBS for a large project. What aids its
creation?",Gantt chart,Activity list,Subcontractor pricing,Requirements docs,,2,,"An activity list details tasks, supporting WBS development.",,,,,,1500_questions.txt
29,"Alice's project, ahead of schedule, gets extra quality testing approved.
What's this an example of?",Quality assurance,Scope creep,Integrated change control,Change control,,3,,Integrated change control manages this approved scope addition.,,,,,,1500_questions.txt
30,Select three costs of quality.,Quality staff,Rework,Time on quality tasks,Quality tools,,,"1,3,4","Quality costs include staff, tools, and time invested in quality
activities.",,,,,,1500_questions.txt
31,"An IT hardware PM finds failing component batches. What tool reduces
failure rates?",Control chart,Tornado diagram,Probability/impact matrix,Fishbone diagram,,4,,A fishbone diagram identifies root causes of failures.,,,,,,1500_questions.txt
32,"A PM delivers completed project deliverables to the client's PM while
the client is away. Later, approval is rejected. What should've been
done?",Ensured quality deliverables,Escalated client absence,Got sign-off from a rep,Specified payment terms,,3,,A representative's sign-off ensures formal acceptance.,,,,,,1500_questions.txt
33,"Thomas, team lead, is asked if a release is doable in three sprints.
Past sprints hit 20, 25, and 30 points; 90 points remain. What's his
answer?","No, average is 25 points","Yes, velocity will rise",Add team members,"Team decides, not me",,1,,"With a 25-point average, 90 points exceeds three sprints' capacity.",,,,,,1500_questions.txt
34,"You're creating a unique TV series for November sweeps. What's true
here?",It's a project---unique with set dates,It's operations---series creation is routine,It's ongoing---series lasts years,It's not unique---firm makes series,,1,,A project has a defined start and end; this ends at sweeps week.,,,,,,1500_questions.txt
35,"A developer suggests a cost-free performance boost during execution.
What's the PM's first step?",Check performance data,Implement without delay,Have a tech lead review,Document for change control,,3,,A technical review ensures feasibility before formal steps.,,,,,,1500_questions.txt
36,"You're deciding to buy or build software for a late project. In what
process is make-or-buy analysis used?",Initiating,Procurement planning,Contract closeout,Source selection,,2,,Make-or-buy analysis occurs in procurement planning.,,,,,,1500_questions.txt
37,"Bevan's elevator project has phased milestones. What term describes
these work segments?",Phase gate,Project governance,Project phase,Project life cycle,,3,,A project phase groups related activities to a deliverable.,,,,,,1500_questions.txt
38,What's a tool/technique in Manage Project Team?,Org charts,Ground rules,Org theory,Conflict management,,4,,Conflict management aids team oversight.,,,,,,1500_questions.txt
39,"Jason, a PM, aims to boost EI and reward his team to meet a tight
deadline. What's the best reward?",Promise a \$500 bonus,Thank each member personally,Praise them to supervisors,Give top two early leave,,2,,Personal thanks show EI and motivate broadly.,,,,,,1500_questions.txt
40,An SPI below 1.0 means what?,Project lags planned value,EV is fully achieved,Time loss is permanent,No concern despite delay,,1,,SPI \< 1 shows less work done than planned.,,,,,,1500_questions.txt
41,"Ben, PM at ABC Corp, faces a team argument during a meeting. What's his
best resolution?",Address privately post-meeting,Escalate to their manager,Ignore if timeline's safe,Stop meeting to resolve,,4,,Immediate action reinforces norms and saves meeting time.,,,,,,1500_questions.txt
42,"A project, three weeks behind with two months left, can't use overtime.
How does the PM recover?",Over-allocate resources,Request scope change,Crash the schedule,Fast-track it,,4,,Fast-tracking overlaps tasks to regain time without extra cost.,,,,,,1500_questions.txt
43,"Judy shares with her project coach that her mother's health issues may
pull her away occasionally, stressing her need for work-life balance.
How should the coach respond?",Suggest she keep it private,Demand extra hours to cover absences,Ignore her concerns,Encourage sharing with the team for support,,4,,"Encouraging Judy to share comfortably fosters team support, aligning
with agile collaboration.",,,,,,1500_questions.txt
44,"Sean's team finds a missing requirement in a user story. A developer
discusses it with a key contact, but the tracking tool isn't updated.
What should Sean do?",Update the tool immediately,Limit talks without testers,Discuss at the next standup,Block changes outside backlog,,3,,"Raising it at standup prioritizes people over rigid process updates in
agile.",,,,,,1500_questions.txt
